Iteration,Cenary,Initial State,Objective,Generated vertices amount,Visited vertices amount,Cost,Path
10,1,(24 0),(30 17),424,395,230,(24 0) (24 1) (24 2) (24 3) (24 4) (24 5) (24 6) (24 7) (24 8) (24 9) (24 10) (24 11) (24 12) (24 13) (24 14) (25 14) (26 14) (26 15) (26 16) (27 16) (28 16) (28 17) (29 17) (30 17) 
10,2,(24 0),(30 17),409,375,260,(24 0) (24 1) (24 2) (24 3) (24 4) (24 5) (24 6) (24 7) (24 8) (24 9) (24 10) (24 11) (24 12) (24 13) (24 14) (24 15) (24 16) (24 17) (25 17) (26 17) (27 17) (28 17) (29 17) (30 17) 
10,3,(24 0),(30 17),559,512,233,(24 0) (24 1) (24 2) (24 3) (24 4) (24 5) (25 5) (26 5) (26 6) (26 7) (26 8) (26 9) (27 9) (28 9) (28 10) (28 11) (28 12) (28 13) (29 13) (30 13) (30 14) (30 15) (30 16) (30 17) 
10,4,(24 0),(30 17),521,476,205,(24 0) (24 1) (24 2) (24 3) (24 4) (24 5) (24 6) (24 7) (24 8) (25 8) (26 8) (27 8) (28 8) (28 9) (28 10) (28 11) (28 12) (28 13) (28 14) (28 15) (28 16) (28 17) (29 17) (30 17) 
11,1,(22 9),(25 15),191,153,90,(22 9) (22 10) (22 11) (22 12) (23 12) (23 13) (23 14) (24 14) (25 14) (25 15) 
11,2,(22 9),(25 15),181,142,105,(22 9) (22 10) (22 11) (22 12) (22 13) (22 14) (22 15) (23 15) (24 15) (25 15) 
11,3,(22 9),(25 15),227,165,92,(22 9) (22 10) (22 11) (22 12) (22 13) (23 13) (24 13) (25 13) (25 14) (25 15) 
11,4,(22 9),(25 15),198,150,84,(22 9) (22 10) (22 11) (22 12) (22 13) (22 14) (22 15) (23 15) (24 15) (25 15) 
12,1,(11 27),(18 2),845,822,320,(11 27) (11 26) (11 25) (11 24) (11 23) (11 22) (11 21) (11 20) (11 19) (11 18) (11 17) (11 16) (11 15) (11 14) (11 13) (11 12) (11 11) (12 11) (13 11) (13 10) (13 9) (13 8) (13 7) (13 6) (14 6) (15 6) (15 5) (16 5) (16 4) (17 4) (18 4) (18 3) (18 2) 
12,2,(11 27),(18 2),807,780,355,(11 27) (11 26) (11 25) (11 24) (11 23) (11 22) (11 21) (11 20) (11 19) (11 18) (11 17) (11 16) (11 15) (11 14) (11 13) (11 12) (11 11) (11 10) (11 9) (11 8) (11 7) (11 6) (11 5) (11 4) (11 3) (11 2) (12 2) (13 2) (14 2) (15 2) (16 2) (17 2) (18 2) 
12,3,(11 27),(18 2),1142,1107,322,(11 27) (11 26) (11 25) (11 24) (11 23) (11 22) (12 22) (12 21) (12 20) (12 19) (12 18) (12 17) (13 17) (13 16) (13 15) (13 14) (13 13) (13 12) (14 12) (14 11) (14 10) (14 9) (14 8) (14 7) (15 7) (16 7) (16 6) (16 5) (16 4) (16 3) (17 3) (18 3) (18 2) 
12,4,(11 27),(18 2),1012,977,292,(11 27) (11 26) (11 25) (11 24) (11 23) (11 22) (11 21) (11 20) (11 19) (12 19) (13 19) (14 19) (15 19) (16 19) (16 18) (16 17) (16 16) (16 15) (16 14) (16 13) (16 12) (16 11) (17 11) (18 11) (18 10) (18 9) (18 8) (18 7) (18 6) (18 5) (18 4) (18 3) (18 2) 
13,1,(14 13),(18 10),143,110,70,(14 13) (14 12) (14 11) (15 11) (15 10) (16 10) (17 10) (18 10) 
13,2,(14 13),(18 10),140,106,90,(14 13) (14 12) (14 11) (14 10) (15 10) (16 10) (17 10) (18 10) 
13,3,(14 13),(18 10),144,103,74,(14 13) (14 12) (14 11) (14 10) (15 10) (16 10) (17 10) (18 10) 
13,4,(14 13),(18 10),134,99,72,(14 13) (14 12) (14 11) (14 10) (15 10) (16 10) (17 10) (18 10) 
14,1,(9 13),(28 28),950,947,340,(9 13) (10 13) (11 13) (12 13) (13 13) (14 13) (15 13) (16 13) (17 13) (18 13) (18 14) (19 14) (20 14) (21 14) (21 15) (21 16) (22 16) (23 16) (23 17) (23 18) (24 18) (25 18) (25 19) (25 20) (25 21) (26 21) (26 22) (26 23) (27 23) (27 24) (27 25) (28 25) (28 26) (28 27) (28 28) 
14,2,(9 13),(28 28),952,948,435,(9 13) (9 14) (9 15) (9 16) (9 17) (9 18) (9 19) (9 20) (9 21) (9 22) (9 23) (9 24) (9 25) (9 26) (9 27) (9 28) (10 28) (11 28) (12 28) (13 28) (14 28) (15 28) (16 28) (17 28) (18 28) (19 28) (20 28) (21 28) (22 28) (23 28) (24 28) (25 28) (26 28) (27 28) (28 28) 
14,3,(9 13),(28 28),1297,1288,364,(9 13) (9 14) (9 15) (9 16) (10 16) (11 16) (12 16) (13 16) (14 16) (14 17) (14 18) (14 19) (15 19) (16 19) (17 19) (17 20) (17 21) (17 22) (18 22) (19 22) (20 22) (20 23) (20 24) (20 25) (21 25) (22 25) (23 25) (24 25) (24 26) (24 27) (25 27) (26 27) (27 27) (28 27) (28 28) 
14,4,(9 13),(28 28),1157,1151,291,(9 13) (9 14) (9 15) (9 16) (9 17) (9 18) (10 18) (11 18) (12 18) (13 18) (14 18) (15 18) (16 18) (17 18) (18 18) (19 18) (20 18) (20 19) (20 20) (20 21) (20 22) (20 23) (21 23) (22 23) (23 23) (24 23) (25 23) (26 23) (26 24) (26 25) (26 26) (26 27) (26 28) (27 28) (28 28) 
15,1,(2 28),(27 10),882,869,430,(2 28) (2 27) (2 26) (2 25) (2 24) (2 23) (2 22) (2 21) (3 21) (4 21) (4 20) (4 19) (5 19) (6 19) (7 19) (7 18) (8 18) (9 18) (10 18) (10 17) (11 17) (12 17) (13 17) (13 16) (13 15) (13 14) (13 13) (14 13) (15 13) (16 13) (17 13) (17 12) (18 12) (19 12) (19 11) (20 11) (21 11) (22 11) (23 11) (23 10) (24 10) (25 10) (26 10) (27 10) 
15,2,(2 28),(27 10),892,879,555,(2 28) (2 27) (2 26) (2 25) (2 24) (2 23) (2 22) (2 21) (2 20) (2 19) (2 18) (2 17) (2 16) (2 15) (2 14) (2 13) (2 12) (2 11) (2 10) (3 10) (4 10) (5 10) (6 10) (7 10) (8 10) (9 10) (10 10) (11 10) (12 10) (13 10) (14 10) (15 10) (16 10) (17 10) (18 10) (19 10) (20 10) (21 10) (22 10) (23 10) (24 10) (25 10) (26 10) (27 10) 
