Iteration,Algorithm,Cenary,Heuristic,Initial State,Objective,Generated vertices amount,Visited vertices amount,Cost,Path
3,GS,2,1,(27 9),(2 28),894,792,835,(27 9) (27 10) (28 10) (28 11) (29 11) (29 12) (29 13) (29 14) (29 15) (28 15) (28 16) (28 17) (27 17) (26 17) (26 18) (26 19) (27 19) (27 20) (27 21) (26 21) (25 21) (24 21) (24 20) (24 19) (24 18) (23 18) (23 17) (23 16) (23 15) (22 15) (21 15) (21 16) (21 17) (20 17) (19 17) (19 18) (18 18) (17 18) (17 19) (16 19) (15 19) (14 19) (13 19) (12 19) (11 19) (10 19) (10 20) (9 20) (8 20) (8 21) (8 22) (9 22) (9 23) (10 23) (10 24) (10 25) (10 26) (10 27) (9 27) (9 28) (8 28) (7 28) (6 28) (5 28) (4 28) (3 28) (2 28) 
3,A*,2,1,(27 9),(2 28),1252,1017,675,(27 9) (26 9) (26 10) (25 10) (25 11) (24 11) (23 11) (22 11) (21 11) (20 11) (19 11) (18 11) (17 11) (16 11) (15 11) (14 11) (13 11) (12 11) (11 11) (11 10) (11 9) (11 8) (11 7) (10 7) (9 7) (8 7) (7 7) (6 7) (5 7) (4 7) (3 7) (2 7) (1 7) (1 8) (1 9) (1 10) (1 11) (1 12) (2 12) (2 13) (2 14) (2 15) (2 16) (2 17) (2 18) (2 19) (2 20) (2 21) (2 22) (2 23) (2 24) (2 25) (2 26) (2 27) (2 28) 
3,GS,2,2,(27 9),(2 28),908,798,815,(27 9) (27 10) (28 10) (28 11) (28 12) (28 13) (28 14) (27 14) (26 14) (25 14) (25 13) (25 12) (24 12) (23 12) (23 11) (22 11) (21 11) (21 10) (20 10) (19 10) (18 10) (17 10) (16 10) (15 10) (15 9) (14 9) (13 9) (12 9) (11 9) (10 9) (10 8) (9 8) (8 8) (8 7) (8 6) (7 6) (6 6) (5 6) (4 6) (3 6) (2 6) (2 7) (2 8) (2 9) (3 9) (3 10) (3 11) (3 12) (3 13) (3 14) (3 15) (2 15) (1 15) (1 16) (1 17) (1 18) (1 19) (1 20) (2 20) (2 21) (2 22) (2 23) (2 24) (2 25) (2 26) (2 27) (2 28) 
3,A*,2,2,(27 9),(2 28),1116,872,655,(27 9) (27 8) (27 7) (27 6) (26 6) (25 6) (24 6) (24 7) (23 7) (22 7) (21 7) (20 7) (20 8) (20 9) (20 10) (20 11) (20 12) (21 12) (21 13) (21 14) (21 15) (21 16) (20 16) (19 16) (18 16) (17 16) (17 17) (17 18) (17 19) (16 19) (15 19) (14 19) (13 19) (12 19) (11 19) (10 19) (10 20) (9 20) (8 20) (7 20) (6 20) (5 20) (4 20) (4 21) (3 21) (2 21) (2 22) (2 23) (2 24) (2 25) (2 26) (2 27) (2 28) 
3,GS,3,1,(27 9),(2 28),880,837,586,(27 9) (27 10) (27 11) (26 11) (25 11) (24 11) (24 12) (24 13) (24 14) (23 14) (22 14) (22 15) (22 16) (21 16) (20 16) (20 17) (19 17) (19 18) (18 18) (17 18) (17 19) (17 20) (18 20) (18 21) (19 21) (19 22) (19 23) (19 24) (18 24) (18 25) (17 25) (16 25) (15 25) (15 26) (15 27) (15 28) (15 29) (15 30) (14 30) (13 30) (12 30) (11 30) (10 30) (9 30) (8 30) (7 30) (6 30) (5 30) (4 30) (3 30) (3 29) (3 28) (2 28) 
3,A*,3,1,(27 9),(2 28),4857,4397,551,(27 9) (27 10) (27 11) (27 12) (27 13) (27 14) (26 14) (25 14) (24 14) (24 15) (24 16) (24 17) (23 17) (22 17) (21 17) (20 17) (19 17) (18 17) (17 17) (16 17) (15 17) (14 17) (13 17) (13 18) (13 19) (13 20) (12 20) (11 20) (10 20) (9 20) (8 20) (7 20) (6 20) (6 19) (6 18) (6 17) (5 17) (4 17) (3 17) (2 17) (2 18) (2 19) (2 20) (2 21) (2 22) (2 23) (2 24) (2 25) (2 26) (2 27) (2 28) 
3,GS,3,2,(27 9),(2 28),862,796,572,(27 9) (26 9) (25 9) (25 10) (24 10) (23 10) (22 10) (21 10) (20 10) (19 10) (19 11) (18 11) (18 12) (18 13) (17 13) (17 14) (16 14) (15 14) (15 13) (15 12) (14 12) (13 12) (12 12) (11 12) (10 12) (9 12) (8 12) (7 12) (7 13) (7 14) (7 15) (7 16) (7 17) (6 17) (6 18) (5 18) (4 18) (4 19) (3 19) (2 19) (1 19) (1 20) (1 21) (2 21) (2 22) (2 23) (2 24) (2 25) (2 26) (2 27) (2 28) 
3,A*,3,2,(27 9),(2 28),2975,2641,729,(27 9) (27 8) (28 8) (28 7) (28 6) (29 6) (29 5) (30 5) (30 4) (30 3) (30 2) (29 2) (29 1) (28 1) (27 1) (27 2) (26 2) (25 2) (25 3) (24 3) (23 3) (22 3) (22 4) (21 4) (20 4) (19 4) (19 5) (19 6) (19 7) (19 8) (18 8) (17 8) (16 8) (16 9) (16 10) (16 11) (15 11) (14 11) (14 12) (14 13) (14 14) (14 15) (14 16) (14 17) (14 18) (14 19) (13 19) (12 19) (11 19) (11 20) (11 21) (11 22) (11 23) (10 23) (9 23) (8 23) (7 23) (6 23) (5 23) (4 23) (3 23) (2 23) (2 24) (2 25) (2 26) (2 27) (2 28) 
3,GS,4,1,(27 9),(2 28),766,694,492,(27 9) (26 9) (25 9) (24 9) (24 10) (23 10) (23 11) (22 11) (21 11) (21 12) (20 12) (19 12) (19 13) (18 13) (17 13) (17 12) (16 12) (15 12) (15 13) (15 14) (15 15) (15 16) (15 17) (14 17) (14 18) (14 19) (13 19) (12 19) (12 18) (11 18) (10 18) (9 18) (9 19) (9 20) (9 21) (9 22) (9 23) (9 24) (10 24) (10 25) (10 26) (10 27) (10 28) (9 28) (8 28) (7 28) (6 28) (5 28) (4 28) (3 28) (2 28) 
3,A*,4,1,(27 9),(2 28),3200,2730,445,(27 9) (28 9) (28 10) (28 11) (28 12) (27 12) (26 12) (25 12) (24 12) (23 12) (22 12) (22 13) (22 14) (22 15) (21 15) (20 15) (19 15) (18 15) (18 16) (18 17) (18 18) (18 19) (17 19) (16 19) (16 20) (16 21) (15 21) (14 21) (13 21) (12 21) (12 22) (12 23) (11 23) (10 23) (9 23) (8 23) (8 24) (8 25) (8 26) (8 27) (7 27) (6 27) (5 27) (4 27) (3 27) (2 27) (2 28) 
