Iteration,Algorithm,Cenary,Initial State,Objective,Generated vertices amount,Visited vertices amount,Cost,Path
5,1,2,(27 28),(6 20),219,127,290,(27 28) (26 28) (25 28) (24 28) (24 27) (23 27) (22 27) (22 26) (21 26) (20 26) (19 26) (19 25) (19 24) (19 23) (19 22) (19 21) (18 21) (17 21) (16 21) (15 21) (14 21) (13 21) (12 21) (11 21) (10 21) (9 21) (8 21) (7 21) (6 21) (6 20) 
5,2,1,(27 28),(6 20),405,368,395,(27 28) (26 28) (25 28) (24 28) (23 28) (23 27) (22 27) (21 27) (20 27) (19 27) (18 27) (18 26) (18 25) (17 25) (16 25) (16 24) (15 24) (14 24) (13 24) (13 23) (12 23) (12 22) (11 22) (10 22) (10 21) (9 21) (8 21) (7 21) (7 20) (6 20) 
5,2,2,(27 28),(6 20),350,308,395,(27 28) (27 27) (27 26) (27 25) (27 24) (27 23) (27 22) (27 21) (27 20) (26 20) (25 20) (24 20) (23 20) (22 20) (21 20) (20 20) (19 20) (18 20) (17 20) (16 20) (15 20) (14 20) (13 20) (12 20) (11 20) (10 20) (9 20) (8 20) (7 20) (6 20) 
5,3,1,(27 28),(6 20),451,403,328,(27 28) (27 27) (26 27) (25 27) (24 27) (23 27) (22 27) (21 27) (20 27) (19 27) (19 26) (19 25) (18 25) (17 25) (16 25) (15 25) (15 24) (15 23) (14 23) (13 23) (12 23) (11 23) (11 22) (11 21) (10 21) (9 21) (8 21) (7 21) (6 21) (6 20) 
5,3,2,(27 28),(6 20),370,287,328,(27 28) (27 27) (27 26) (26 26) (25 26) (24 26) (23 26) (22 26) (21 26) (20 26) (20 25) (20 24) (19 24) (18 24) (17 24) (16 24) (16 23) (16 22) (15 22) (14 22) (13 22) (12 22) (11 22) (11 21) (10 21) (9 21) (8 21) (7 21) (6 21) (6 20) 
5,4,1,(27 28),(6 20),377,290,256,(27 28) (27 27) (27 26) (27 25) (26 25) (25 25) (24 25) (23 25) (22 25) (21 25) (20 25) (19 25) (18 25) (17 25) (16 25) (15 25) (14 25) (13 25) (12 25) (12 24) (12 23) (12 22) (11 22) (10 22) (9 22) (8 22) (7 22) (6 22) (6 21) (6 20) 
5,4,2,(27 28),(6 20),110,47,256,(27 28) (27 27) (27 26) (27 25) (27 24) (27 23) (26 23) (25 23) (24 23) (23 23) (22 23) (21 23) (20 23) (19 23) (18 23) (17 23) (16 23) (15 23) (14 23) (14 22) (14 21) (14 20) (13 20) (12 20) (11 20) (10 20) (9 20) (8 20) (7 20) (6 20) 
6,1,1,(24 1),(26 18),99,60,190,(24 1) (24 2) (24 3) (24 4) (24 5) (24 6) (24 7) (24 8) (24 9) (24 10) (24 11) (24 12) (24 13) (24 14) (24 15) (24 16) (24 17) (25 17) (25 18) (26 18) 
6,1,2,(24 1),(26 18),89,48,190,(24 1) (25 1) (25 2) (26 2) (26 3) (26 4) (26 5) (26 6) (26 7) (26 8) (26 9) (26 10) (26 11) (26 12) (26 13) (26 14) (26 15) (26 16) (26 17) (26 18) 
6,2,1,(24 1),(26 18),103,65,200,(24 1) (24 2) (24 3) (24 4) (24 5) (24 6) (24 7) (24 8) (24 9) (24 10) (24 11) (24 12) (24 13) (24 14) (24 15) (24 16) (24 17) (25 17) (25 18) (26 18) 
6,2,2,(24 1),(26 18),86,48,200,(24 1) (24 2) (24 3) (24 4) (24 5) (24 6) (24 7) (24 8) (24 9) (24 10) (24 11) (24 12) (24 13) (24 14) (24 15) (24 16) (24 17) (24 18) (25 18) (26 18) 
6,3,1,(24 1),(26 18),108,66,190,(24 1) (24 2) (24 3) (24 4) (24 5) (24 6) (24 7) (24 8) (24 9) (24 10) (24 11) (24 12) (25 12) (25 13) (25 14) (25 15) (25 16) (25 17) (26 17) (26 18) 
6,3,2,(24 1),(26 18),76,39,190,(24 1) (24 2) (24 3) (24 4) (24 5) (24 6) (25 6) (25 7) (25 8) (25 9) (25 10) (25 11) (26 11) (26 12) (26 13) (26 14) (26 15) (26 16) (26 17) (26 18) 
6,4,1,(24 1),(26 18),87,45,181,(24 1) (24 2) (24 3) (24 4) (24 5) (24 6) (24 7) (24 8) (24 9) (24 10) (24 11) (25 11) (26 11) (26 12) (26 13) (26 14) (26 15) (26 16) (26 17) (26 18) 
6,4,2,(24 1),(26 18),56,20,189,(24 1) (24 2) (24 3) (24 4) (24 5) (24 6) (25 6) (26 6) (26 7) (26 8) (26 9) (26 10) (26 11) (26 12) (26 13) (26 14) (26 15) (26 16) (26 17) (26 18) 
7,1,1,(5 18),(4 24),24,10,70,(5 18) (5 19) (5 20) (5 21) (5 22) (5 23) (4 23) (4 24) 
7,1,2,(5 18),(4 24),29,14,70,(5 18) (4 18) (4 19) (4 20) (4 21) (4 22) (4 23) (4 24) 
7,2,1,(5 18),(4 24),24,10,75,(5 18) (5 19) (5 20) (5 21) (5 22) (5 23) (5 24) (4 24) 
7,2,2,(5 18),(4 24),24,10,75,(5 18) (5 19) (5 20) (5 21) (5 22) (5 23) (5 24) (4 24) 
7,3,1,(5 18),(4 24),23,9,70,(5 18) (5 19) (5 20) (5 21) (5 22) (5 23) (4 23) (4 24) 
7,3,2,(5 18),(4 24),23,9,70,(5 18) (5 19) (5 20) (5 21) (5 22) (5 23) (4 23) (4 24) 
7,4,1,(5 18),(4 24),24,9,69,(5 18) (5 19) (5 20) (5 21) (5 22) (5 23) (5 24) (4 24) 
7,4,2,(5 18),(4 24),24,9,69,(5 18) (5 19) (5 20) (5 21) (5 22) (5 23) (5 24) (4 24) 
8,1,1,(8 22),(2 12),132,97,160,(8 22) (8 21) (8 20) (8 19) (8 18) (8 17) (7 17) (7 16) (6 16) (6 15) (5 15) (5 14) (4 14) (3 14) (3 13) (3 12) (2 12) 
8,1,2,(8 22),(2 12),86,44,160,(8 22) (7 22) (6 22) (5 22) (5 21) (4 21) (3 21) (3 20) (2 20) (2 19) (2 18) (2 17) (2 16) (2 15) (2 14) (2 13) (2 12) 
8,2,1,(8 22),(2 12),152,115,190,(8 22) (8 21) (8 20) (8 19) (8 18) (8 17) (8 16) (8 15) (8 14) (7 14) (6 14) (6 13) (5 13) (4 13) (3 13) (3 12) (2 12) 
8,2,2,(8 22),(2 12),129,94,190,(8 22) (8 21) (8 20) (8 19) (8 18) (8 17) (8 16) (8 15) (8 14) (8 13) (8 12) (7 12) (6 12) (5 12) (4 12) (3 12) (2 12) 
